pat_id,birth_date,death_date,ssn,drivers,passport,prefix,first,last,suffix,maiden,marital,race,ethnicity,gender,birthplace,address,prior_opioid_abuse_diag
2ecbe294-b24a-41c4-aaa3-e02a92e73b57,1966-06-04,1993-11-27,999-27-4581,S99984168,X4376346X,Mrs.,Polly738,Upton904,,Howe413,M,white,portuguese,F,Kettering,704 Ortiz Skyway Kingstonship Ohio  US,1
d8ec1a40-1098-48c7-90d2-f0c3d659c475,2003-11-10,,999-21-7464,,,,Glenn0,Gottlieb798,,,,white,russian,F,Akron,314 Tromp Key Portsmouth Ohio 45662 US,0
11f95cb8-5b51-4051-bd12-5b606ecaefbf,1987-03-29,,999-83-7560,S99912765,X55264834X,Mrs.,Maryland870,Kozey370,,Gutmann970,M,white,greek,F,Alliance,1002 Stanton Underpass Gahanna Ohio 43004 US,0
97a2cfb3-5c52-474b-ae5b-a2363ec46b11,1986-10-31,,999-51-8557,S99924093,X54354609X,Mrs.,Tammi724,Windler79,,Ratke343,M,white,irish,F,Toledo,971 Schiller Byway Apt 67 Dayton Ohio 45377 US,0
fdbc8d6b-3c85-4818-9e90-3d57242e77ea,1981-06-28,,999-47-7259,S99919871,X3740578X,Mrs.,Jazmin969,Howe413,,Nitzsche158,M,white,italian,F,Trenton,1029 Kuphal Course Miamisburg Ohio 45342 US,0
05525eb0-ac64-43dd-9212-d19fa1a9a1f7,2013-04-08,,999-87-8779,,,,Kyle55,Padberg411,,,,white,english,M,Tiffin,1022 Buckridge Bypass Suite 36 Southingtonship Ohio  US,0
10f9fc3a-1d81-44fa-9f34-eac49c27f7bb,2007-07-27,,999-54-6546,,,,Daisey627,Harris789,,,,white,greek,F,Canton,772 Zieme Loaf Apt 78 Kingstonship Ohio  US,0
ee5c9428-7d5b-46d9-9c79-5f0822fa3a0a,2016-12-04,,999-47-9476,,,,Melodie819,Murray856,,,,black,african,F,Fremont,366 Dach Mission Apt 8 Warrensville Heights Ohio 44122 US,0
f2a12e28-a9d9-44f1-a915-d7854515e951,2008-03-06,,999-59-2427,,,,Thanh759,Greenholt190,,,,white,irish,M,Columbus,421 Jast Green Apt 69 Andersonship Ohio  US,1
c95980c3-1dcd-4f7c-b34d-db46b905fec1,1974-09-29,,999-63-2708,S99967859,X14017185X,Mrs.,Ozell178,Kemmer137,,Douglas31,M,white,english,F,Sandusky,300 Thiel Junction Gahanna Ohio 43004 US,0
49ea44d6-1a78-4d8e-810b-70c2b0887277,2017-04-25,,999-88-3907,,,,Van763,Altenwerth646,,,,white,greek,M,Dayton,317 Koepp Stravenue Akron Ohio 44203 US,0
8687182c-d397-4e8b-a7d8-e42bc7672609,1982-06-18,,999-55-9619,S99995076,X31016355X,Mr.,Mickey576,Zemlak964,,,M,white,french,M,Toledo,485 Jacobi Burg Andersonship Ohio  US,0
e1505eef-a5bc-419d-a9ff-2776de88caff,1953-08-15,,999-17-7357,S99935657,X70473208X,Ms.,Enriqueta274,Towne435,,,S,white,italian,F,Mason,396 Dibbert Byway Cincinnati Ohio 45202 US,0
d6f98094-9d83-4ca6-bc75-0943826c97c2,1953-11-19,,999-82-1535,S99916728,X49411538X,Mr.,Tristan353,Torphy630,,,M,black,african,M,Richmond Heights,142 Bogisich Corner Suite 12 Wilmington Ohio 45177 US,0
cbcd4a47-a60b-43d7-8c49-f58b2620988b,1955-05-28,,999-23-4040,S99938592,X35748675X,Mrs.,Fredericka800,Lakin515,,Powlowski563,M,white,irish,F,Ottawa village,717 Gutmann Gate Suite 79 Columbus Ohio 43002 US,1
7e377251-ef5d-4621-8725-f79319922c46,1967-02-05,2012-09-02,999-92-7123,S99965000,X51543274X,Ms.,Matthew562,Walker122,,,S,white,portuguese,F,Cincinnati,645 Mante Extension Suite 22 Columbus Ohio 43002 US,0
fb3e3940-50f2-44c4-9969-3d1174f72ec9,2008-11-27,,999-90-4365,,,,Celine582,Hills818,,,,white,american,F,Parma Heights,970 Hegmann Mill Suite 13 Rossship Ohio  US,1
9d921a72-2210-4f99-bd19-6571cc561bf2,1957-02-13,2013-02-27,999-38-1747,S99971717,X50859748X,Mr.,Pablo44,Kohler843,,,S,hispanic,mexican,M,Toledo,829 Lubowitz Rue Middleburg Heights Ohio 44017 US,1
b5b3d6d7-4b7b-44de-90c0-f87b55903164,1966-06-21,,999-16-1139,S99936863,X52207292X,Ms.,Augustine565,Thompson596,,,S,white,english,F,Lebanon,1036 Rau Glen Apt 71 Beachwood Ohio 44122 US,1
02700b00-20c4-47ce-9537-eaca606c6b4e,2006-01-31,,999-80-4892,,,,Anderson154,Stracke611,,,,white,german,M,Clarkship,243 Blick Spur Unit 12 Columbus Ohio 43002 US,1
f1f9d9e5-4d2b-40e1-b944-977dd9d83741,1985-07-19,,999-95-5914,S99984679,X87257434X,Mrs.,Reta616,Hayes766,,Stehr398,M,white,english,F,Shaker Heights,1086 Herzog Mews Apt 95 Fremont Ohio 43420 US,0
79e50763-f149-4099-bc3f-fc3d4dee5152,1999-08-04,,999-80-5065,S99981889,,Mr.,Max124,Ratke343,,,,white,american,M,Forest Park,1056 Blanda Spur Suite 24 Pataskala Ohio 43062 US,1
d0da5f1a-3277-42ca-b0b9-fb0e625e9356,1986-06-23,,999-15-8256,S99918000,X38540035X,Mrs.,Breana975,Parisian75,,King743,M,white,greek,F,Cleveland,121 Bernhard Dam Suite 57 Painesville Ohio 44045 US,1
14f958ac-79bc-437b-8093-26f201c0dd34,1973-06-28,,999-35-5646,S99992691,X37698795X,Mrs.,Steven797,Brekke496,,Konopelski743,M,black,african,F,Columbus,251 Ritchie Pathway Shaker Heights Ohio 44118 US,0
78865d6d-c2c3-4281-8de0-f46a6a662153,1970-10-27,,999-52-2841,S99991399,X3284551X,Mr.,Juan88,Castellanos521,,,M,black,west_indian,M,Columbus,788 Wilkinson Fort Middleburg Heights Ohio 44017 US,0
b8465dea-d0f2-46a0-aa9d-bce07cee8a35,1962-11-28,,999-39-1103,S99949934,X15591555X,Mr.,Alejandro916,Hand679,,,M,white,french,M,Cleveland Heights,217 Sawayn Trafficway Miamiship Ohio  US,0
13f8f25a-d946-418a-b9d0-3c2a057bf5cd,1993-02-04,,999-44-6547,S99979912,X36755798X,Ms.,Michelina932,Nader710,,,,white,italian,F,Miamiship,152 Dietrich Tunnel Elyria Ohio 44035 US,0
66125ac6-faab-4254-9fc4-9d6fc935a7f8,2002-06-12,,999-48-8444,,,,Moses679,Schmitt836,,,,white,english,M,Upper Arlington,902 Kohler Rapid Columbus Ohio 43002 US,1
b03f9d05-af24-4625-b0dc-4cbdb4100230,1970-07-08,,999-81-1434,S99928773,X37349204X,Mrs.,Kami26,Boyer713,,Von197,M,white,irish,F,Cleveland,912 Terry Green Mason Ohio 45036 US,0
723a3435-96bd-4d37-bb2c-2cb37ba6361f,2004-12-21,,999-58-4993,,,,Chas63,Blick895,,,,white,italian,M,Gahanna,1028 Greenfelder Fork Columbus Ohio 43002 US,0
52fb98aa-da69-46d1-8219-a53808581500,1977-07-20,,999-83-6278,S99910229,X44764470X,Mr.,Justin359,Lynch190,,,M,white,french,M,Columbus,317 Bogan Dale Unit 61 Cincinnati Ohio 45202 US,0
acbde252-a0b3-4158-a93e-bc476766c82b,1977-04-08,,999-98-4227,S99961852,X12972668X,Mrs.,Eliana466,Walker122,,Kiehn525,M,white,german,F,Bowling Green,241 Kris Vista Suite 27 Colerainship Ohio  US,1
0645b500-a766-4612-9fe1-c82f64f67f07,2014-02-11,,999-81-6720,,,,Miles206,Johns824,,,,white,irish,M,Columbus,315 Lind Lock Suite 55 Avon Ohio 44011 US,0
28fb9182-e5ef-43ed-9a8e-e00eb0724b5c,2013-04-10,,999-50-6064,,,,Nathaniel596,Bradtke547,,,,white,irish,M,Cincinnati,200 Ryan Loaf Unit 3 Elyria Ohio 44035 US,0
a950f193-1647-45ed-80d8-d244eace9fd1,1930-10-27,2001-11-12,999-52-5020,S99954072,X19771183X,Mrs.,Ora550,Rosenbaum794,,Walter473,M,white,english,F,Columbus,970 MacGyver Mall Spencership Ohio  US,0
30691ae9-9299-43ec-8bcc-fdbff1433dbe,1997-05-29,,999-25-7163,S99979155,X82113766X,Mr.,Shon148,Dickens475,,,,white,irish,M,Newark,713 Kemmer Throughway Canton Ohio 44641 US,0
97148253-f406-4e68-8f71-f295e9728b6f,2001-11-09,,999-90-7047,S99937139,,,Jc393,Welch179,,,,white,english,M,Streetsboro,1067 Bayer Camp Apt 34 Dayton Ohio 45377 US,0
8e15317c-d6ec-4ace-abd0-8c1222483a85,1975-10-22,,999-93-4757,S99957959,X49192181X,Ms.,Earlean804,Lowe577,,,S,white,english,F,Parma,944 Kulas Overpass Heath Ohio 43023 US,1
fa0bc689-1eed-46c2-a347-e26854507123,1975-01-30,,999-64-8863,S99958903,X16483688X,Mrs.,Rachell479,Crona259,,Marvin195,M,white,irish,F,Delhiship,447 Carter Haven Lorain Ohio 44001 US,0
652609b4-e756-47c9-b4da-c65e73b07cbb,1982-02-25,,999-70-5460,S99988397,X78400397X,Mr.,Brendan864,Watsica258,,,M,white,irish,M,Parma,101 Blanda Byway Highland Heights Ohio 44143 US,0
271a4350-3f42-4b68-9698-a9308867248c,1992-07-12,,999-74-1710,S99934125,X6517130X,Mr.,Micah422,Gerlach374,,,,white,italian,M,Caldwell village,846 Howell Green Cleveland Ohio 44101 US,0
9e753bca-69e4-44f1-b509-3e526d66b551,1947-02-25,,999-73-6506,S99974061,X74766502X,Mrs.,Maureen515,Gorczany269,,Dietrich576,M,white,american,F,Warrensville Heights,290 Haley Passage Columbus Ohio 43002 US,0
00688927-7d7a-488e-86fc-48cb54441ff3,1984-01-18,,999-56-7404,S99974217,X63002784X,Mr.,Rafael239,Schimmel440,,,M,white,italian,M,Belpre,634 Hoeger Gardens Unit 23 Cleveland Ohio 44101 US,0
c6a1eb8f-e13a-461b-8141-9b0bc091f001,2016-06-03,,999-59-4431,,,,Hildred696,Kris249,,,,white,scottish,F,Lakewood,681 Goyette Spur Columbus Ohio 43002 US,0
ab215709-5dae-43f7-90d4-aee2b5a4579a,1954-08-19,,999-12-8359,S99910174,X34725660X,Mrs.,Roxana439,Dooley940,,Powlowski563,M,white,italian,F,Howardship,1001 Bruen Parade Suite 13 Cleveland Ohio 44101 US,0
0aad134f-d7c3-493d-891d-114cde60ab5c,1990-04-19,,999-14-3109,S99987275,X21768715X,Mr.,Lesley194,Waelchi213,,,M,black,african,M,Mayfield Heights,572 Beahan Street Toledo Ohio 43537 US,0
274b7199-b484-48b8-a2d3-ffd08f81b223,1975-12-22,,999-47-7481,S99953925,X27320793X,Mr.,Jackson413,Waters156,,,M,white,french,M,Bryan,590 O'Connell Rest Suite 14 Kettering Ohio 45409 US,0
dd98cceb-a522-4bde-90df-4da86ed31011,1961-07-21,,999-98-7052,S99934680,X4671743X,Mrs.,Chantelle310,Haag279,,Hegmann834,M,white,german,F,Springfield,233 Jast Harbor Unit 43 Tiffin Ohio 44883 US,1
a22a50f3-2fd5-4e52-9d13-0dce7e90eaf2,1982-06-26,1999-07-24,999-83-1209,S99925123,,,Bree992,Hermiston71,,,,white,irish,F,Kent,824 Koelpin Grove Suite 63 Coventryship Ohio  US,0
68df6262-3114-4399-893c-0de1368ca9c7,2016-05-31,,999-64-3597,,,,Lucas404,Boyle917,,,,white,italian,M,Columbus,112 Balistreri Bypass Apt 18 Springfield Ohio 45502 US,1
f4499c22-388c-462c-9eec-6d6aa1eaebcd,1986-01-21,,999-80-2948,S99952222,X3729326X,Mr.,Wes853,Jones311,,,M,white,english,M,Cleveland,346 Murphy Ranch Newark Ohio 43023 US,0
480e4a7e-dbf5-4db5-9248-41240c5b53d1,1992-01-07,,999-39-8798,S99992598,X18894168X,Ms.,Lilly908,Nienow652,,,,white,german,F,Orrville,948 Hyatt Parade St. Clairship Ohio  US,0
cdb0c87b-cd43-4086-8325-755c97e20abe,1923-04-21,,999-92-9771,S99912148,X59838322X,Mr.,Steven797,Farrell962,,,M,white,portuguese,M,Catawba Islandship,133 Emard Green Spencership Ohio  US,0
20098c70-7526-4589-83f1-c773b7b0d148,1986-10-14,,999-21-2597,S99976457,X77367346X,Mrs.,Larae985,Streich926,,Kihn564,M,asian,chinese,F,Columbus,624 Jenkins Course Suite 34 Worthington Ohio 43085 US,0
ab07221d-1d8b-4beb-bae9-b29742cbe334,1908-02-26,1997-10-08,999-27-4877,S99993533,X59076763X,Mr.,Jorge Luis88,Garibay313,,,M,black,dominican,M,Cleveland,502 Bins Way Unit 34 Toledo Ohio 43537 US,1
eda2411c-d146-462a-b510-2da7aafbc34e,1971-12-05,,999-93-8547,S99968799,X28429273X,Mrs.,Lenore883,Ryan260,,Dicki44,M,white,american,F,Cleveland,232 Murazik Key Suite 87 Coventryship Ohio  US,1
1d7cef9d-9620-42a1-904f-ad2d4c51ed0f,1999-09-07,,999-44-1585,S99941463,,Ms.,Delana41,Wehner319,,,,white,english,F,Cincinnati,910 Tremblay Park Dayton Ohio 45377 US,1
d2b958f2-7b8a-4a43-bc8c-2d9ed65e257c,1968-02-09,,999-58-2534,S99996846,X33559543X,Mrs.,Danyelle408,Smith67,,Murray856,M,white,irish,F,Green,929 Champlin Annex Apt 92 Andersonship Ohio  US,0
b1a7bdb9-9472-409b-b199-e5800f2007d7,1975-03-20,,999-46-6660,S99965646,X58885362X,Mrs.,Amy965,Block661,,Marquardt819,M,white,italian,F,Southingtonship,1007 Purdy Fork Suite 25 Ballvilleship Ohio  US,0
5b188668-f1e5-474a-8835-654dbc331c0f,1955-12-22,,999-98-6164,S99955112,X11401567X,Mr.,Normand813,Kutch271,,,S,white,portuguese,M,Middleburg Heights,947 McLaughlin Burg Suite 15 Gahanna Ohio 43004 US,0
b67966bd-9146-4e80-bb12-75de489844ac,1949-06-14,1968-04-16,999-96-7061,S99939334,,Mr.,Reggie481,Kulas532,,,,white,polish,M,Jackson,893 Bayer Orchard Toledo Ohio 43537 US,0
2362efca-dffa-4fbe-9d02-13fd4ea603bb,2016-12-30,,999-99-5542,,,,Neda956,Kozey370,,,,white,italian,F,Perkinsship,589 Grant Dale Toledo Ohio 43537 US,1
c10fff70-b0b6-46e6-84c5-245af33b58f0,2005-12-30,,999-10-5547,,,,Granville802,Kunze215,,,,white,portuguese,M,Cassship,527 Hyatt Club Suite 11 Powell Ohio 43065 US,1
487f6a0c-39ec-49a5-9531-73453e0d8442,1966-10-18,1980-08-26,999-79-5837,,,,Maris768,Schuppe920,,,,black,african,F,Toledo,472 Koelpin Track Sycamoreship Ohio  US,0
2c280d7b-d6fd-496f-aab8-cdeb731ba5ec,1996-11-11,,999-83-3347,S99937590,X75387293X,Mr.,Efren426,Smitham825,,,,black,west_indian,M,Cincinnati,443 Rau Ramp Reading Ohio 45215 US,0
d755729b-07a5-4733-b8ba-ba2bdc613fb4,1958-03-29,,999-54-6226,S99984599,X74316975X,Mrs.,Gloria696,Hansen121,,Klein929,M,white,irish,F,Columbus,862 Smitham Bridge Kettering Ohio 45409 US,0
402441dc-55eb-411f-8c5f-9e7ecf245259,2017-07-06,,999-70-9270,,,,Courtney281,Lockman863,,,,white,irish,M,Twinsburg,512 Bailey Extension Suite 53 Fremont Ohio 43420 US,0
e0ac32f8-4271-440a-bcb1-22bfd04e4ca6,1988-11-08,,999-82-9632,S99921533,X22643080X,Mr.,Norris589,Altenwerth646,,,M,white,irish,M,Green,366 Gutkowski Promenade Mantuaship Ohio  US,0
f3fa8bb5-fcaf-48bf-afdb-843cbada1d68,1957-01-15,,999-65-3715,S99963328,X45960842X,Mr.,Taylor21,Hilpert278,,,M,white,irish,M,Dayton,715 Kuvalis Bay Suite 98 Kettering Ohio 45409 US,1
1eb7b648-b90e-4472-a1f5-7935a7b72784,2001-02-08,,999-77-2312,S99979892,,,Donald774,Bosco882,,,,white,scottish,M,Colerainship,785 Bailey Harbor Centerville Ohio 45685 US,0
34faed3d-5d8b-4526-b552-cecfb3615c0d,2013-10-16,,999-48-9831,,,,Robbie31,Welch179,,,,white,irish,M,Reminderville village,273 O'Keefe Quay Suite 90 Brooklyn Ohio 44102 US,0
47d02f90-e1a1-4a0b-b167-12831df66dfc,1994-11-28,,999-63-6209,S99993427,X64503277X,Mr.,Randall756,Gleichner915,,,,white,italian,M,Ravenna,528 Jacobson Trafficway Marysville Ohio 43040 US,0
aa940dbc-b4ce-451c-bda1-a41000a5575d,2001-09-19,,999-54-4893,S99962938,,,Herb645,Crist667,,,,white,irish,M,Brooklyn,540 Barton Extension Apt 88 Kettering Ohio 45409 US,0
ecaf9f75-1c18-469d-943e-66ff0c16bd37,2001-03-24,,999-58-8131,S99965619,,,Burton124,Stroman228,,,,white,irish,M,Sheffieldship,648 Hagenes Frontage road Unit 66 Bainbridgeship Ohio  US,0
64e39057-232e-470f-b8ee-f5f343b40969,1961-07-01,,999-69-8319,S99966756,X82215287X,Mrs.,Caterina17,Buckridge80,,Grady603,M,white,italian,F,Warren,180 Bednar Bay Ravennaship Ohio  US,0
7e3d44cb-25c8-4c66-80ff-559899b0ab61,1972-12-08,,999-60-6697,S99914743,X59578911X,Mrs.,Leonor133,Delvalle807,,Marín855,M,hispanic,central_american,F,Trenton,379 Smith Ville Suite 85 Willard Ohio 44890 US,0
d5dd7f0e-627e-4f47-936b-6ea87876645f,2000-05-09,,999-86-1715,S99993263,,Mr.,Brandon214,Dicki44,,,,white,english,M,Green,401 Hahn Gate Sheffield Lake Ohio 44054 US,0
687485bf-05f2-4cc8-ab1e-31d9cdcb1fe3,1971-01-12,,999-68-3314,S99921657,X43213159X,Mrs.,Migdalia164,Greenholt190,,Conroy74,M,white,polish,F,Sycamoreship,814 Becker Knoll Sycamoreship Ohio  US,0
972c31dd-c4f6-430b-aab5-6fac414161dd,1983-01-23,,999-86-1802,S99985776,X42529472X,Mrs.,Isela504,Bradtke547,,Connelly992,M,black,african,F,Westerville,1000 Braun Crossing Apt 7 Trotwood Ohio 45309 US,0
2c3cb7e0-5949-4371-9557-f9d6c04e7abb,1987-02-10,1987-03-24,999-91-7201,,,,Armand155,Klein929,,,,white,english,M,Columbus,484 Hartmann Rest Unit 66 Kettering Ohio 45409 US,0
c05110c2-fe74-4e39-8614-dda1feaedfe9,2016-11-15,,999-38-9898,,,,Renea551,Bechtelar572,,,,white,english,F,Woostership,966 Davis Plaza Unit 40 Toronto Ohio 43964 US,0
0a13b769-2068-4671-a179-42bc2ab9187b,2003-02-21,,999-71-4892,,,,Elvira561,Cuellar188,,,,black,west_indian,F,Columbus,815 O'Hara Rapid Unit 15 Parma Ohio 44109 US,0
7ace8e92-52e6-4be4-819b-d5fcc78e1e98,1974-09-30,,999-36-6936,S99959958,X6281498X,Mrs.,Reginia455,Robel940,,Weissnat378,M,white,irish,F,Lorain,540 Shields Lock Marysville Ohio 43040 US,0
4dbee079-96d5-4562-adcd-214bcfbccc90,1978-09-07,,999-12-4441,S99982505,X56210085X,Mrs.,Ninfa662,O'Keefe54,PhD,Wehner319,M,black,african,F,Canton,231 O'Reilly Boulevard Willoughby Ohio 44094 US,1
268e2d98-1528-4952-b013-218a199652e5,1977-02-18,,999-12-5090,S99975161,X6243293X,Ms.,Caridad510,Domínquez36,,,S,black,dominican,F,Huber Heights,581 Jerde Track Unit 7 Wilmington Ohio 45177 US,0
13799ace-2edd-4445-a175-37bfc038209f,2008-04-03,,999-32-2975,,,,David908,Rolón954,,,,black,dominican,M,Dayton,180 Balistreri Way South Euclid Ohio 44118 US,0
f83652c3-da4f-4e60-b7a5-ff97eee4c0c9,2017-12-21,,999-97-7919,,,,Willie882,Metz686,,,,white,french_canadian,F,Cuyahoga Falls,251 Halvorson Fort Alliance Ohio 44601 US,0
